機車竊盜概況,發生數,破獲數,類別
108年 7月/ 南投縣 ,14,11,機車竊盜
108年 7月/ 雲林縣 ,7,7,機車竊盜
108年 7月/ 嘉義縣 ,6,9,機車竊盜
108年 7月/ 屏東縣 ,22,17,機車竊盜
108年 7月/ 臺東縣 ,2,3,機車竊盜
108年 7月/ 花蓮縣 ,6,7,機車竊盜
108年 7月/ 澎湖縣 ,0,0,機車竊盜
108年 7月/ 基隆市 ,6,6,機車竊盜
108年 7月/ 新竹市 ,18,15,機車竊盜
108年 7月/ 嘉義市 ,0,3,機車竊盜
108年 7月/ 金門縣 ,0,3,機車竊盜
108年 7月/ 連江縣 ,1,1,機車竊盜
108年 8月/ 新北市 ,131,149,機車竊盜
108年 8月/ 臺北市 ,51,57,機車竊盜
108年 8月/ 桃園市 ,101,106,機車竊盜
108年 8月/ 臺中市 ,51,62,機車竊盜
108年 8月/ 臺南市 ,24,23,機車竊盜
108年 8月/ 高雄市 ,62,66,機車竊盜
108年 8月/ 宜蘭縣 ,14,15,機車竊盜
108年 8月/ 新竹縣 ,38,25,機車竊盜
108年 8月/ 苗栗縣 ,6,8,機車竊盜
108年 8月/ 彰化縣 ,5,11,機車竊盜
108年 8月/ 南投縣 ,5,7,機車竊盜
108年 8月/ 雲林縣 ,7,8,機車竊盜
108年 8月/ 嘉義縣 ,5,4,機車竊盜
108年 8月/ 屏東縣 ,17,23,機車竊盜
108年 8月/ 臺東縣 ,2,5,機車竊盜
108年 8月/ 花蓮縣 ,7,12,機車竊盜
108年 8月/ 澎湖縣 ,1,2,機車竊盜
108年 8月/ 基隆市 ,5,3,機車竊盜
108年 8月/ 新竹市 ,28,20,機車竊盜
108年 8月/ 嘉義市 ,1,1,機車竊盜
108年 8月/ 金門縣 ,0,0,機車竊盜
108年 8月/ 連江縣 ,0,0,機車竊盜
108年 9月/ 新北市 ,92,114,機車竊盜
108年 9月/ 臺北市 ,24,36,機車竊盜
108年 9月/ 桃園市 ,80,80,機車竊盜
108年 9月/ 臺中市 ,44,51,機車竊盜
108年 9月/ 臺南市 ,24,18,機車竊盜
108年 9月/ 高雄市 ,38,48,機車竊盜
108年 9月/ 宜蘭縣 ,10,9,機車竊盜
108年 9月/ 新竹縣 ,32,28,機車竊盜
108年 9月/ 苗栗縣 ,1,5,機車竊盜
108年 9月/ 彰化縣 ,16,20,機車竊盜
108年 9月/ 南投縣 ,11,7,機車竊盜
108年 9月/ 雲林縣 ,4,7,機車竊盜
108年 9月/ 嘉義縣 ,7,5,機車竊盜
108年 9月/ 屏東縣 ,18,18,機車竊盜
108年 9月/ 臺東縣 ,4,2,機車竊盜
108年 9月/ 花蓮縣 ,4,2,機車竊盜
108年 9月/ 澎湖縣 ,0,0,機車竊盜
108年 9月/ 基隆市 ,7,6,機車竊盜
108年 9月/ 新竹市 ,23,27,機車竊盜
108年 9月/ 嘉義市 ,1,1,機車竊盜
108年 9月/ 金門縣 ,0,0,機車竊盜
108年 9月/ 連江縣 ,0,0,機車竊盜
108年 10月/ 新北市 ,107,135,機車竊盜
108年 10月/ 臺北市 ,34,50,機車竊盜
108年 10月/ 桃園市 ,132,134,機車竊盜
108年 10月/ 臺中市 ,47,43,機車竊盜
108年 10月/ 臺南市 ,29,25,機車竊盜
108年 10月/ 高雄市 ,22,33,機車竊盜
108年 10月/ 宜蘭縣 ,10,5,機車竊盜
108年 10月/ 新竹縣 ,24,29,機車竊盜
108年 10月/ 苗栗縣 ,15,10,機車竊盜
108年 10月/ 彰化縣 ,9,10,機車竊盜
108年 10月/ 南投縣 ,8,13,機車竊盜
108年 10月/ 雲林縣 ,5,9,機車竊盜
108年 10月/ 嘉義縣 ,6,6,機車竊盜
108年 10月/ 屏東縣 ,22,19,機車竊盜
108年 10月/ 臺東縣 ,6,8,機車竊盜
108年 10月/ 花蓮縣 ,4,6,機車竊盜
108年 10月/ 澎湖縣 ,0,0,機車竊盜
108年 10月/ 基隆市 ,6,3,機車竊盜
108年 10月/ 新竹市 ,25,25,機車竊盜
108年 10月/ 嘉義市 ,0,1,機車竊盜
108年 10月/ 金門縣 ,0,0,機車竊盜
108年 10月/ 連江縣 ,0,0,機車竊盜
108年 11月/ 新北市 ,112,130,機車竊盜
108年 11月/ 臺北市 ,25,36,機車竊盜
108年 11月/ 桃園市 ,106,90,機車竊盜
108年 11月/ 臺中市 ,29,45,機車竊盜
108年 11月/ 臺南市 ,32,37,機車竊盜
108年 11月/ 高雄市 ,49,47,機車竊盜
108年 11月/ 宜蘭縣 ,11,11,機車竊盜
108年 11月/ 新竹縣 ,32,23,機車竊盜
108年 11月/ 苗栗縣 ,8,12,機車竊盜
108年 11月/ 彰化縣 ,10,13,機車竊盜
108年 11月/ 南投縣 ,13,11,機車竊盜
108年 11月/ 雲林縣 ,12,8,機車竊盜
108年 11月/ 嘉義縣 ,2,5,機車竊盜
108年 11月/ 屏東縣 ,11,11,機車竊盜
108年 11月/ 臺東縣 ,8,9,機車竊盜
108年 11月/ 花蓮縣 ,7,6,機車竊盜
108年 11月/ 澎湖縣 ,1,0,機車竊盜
108年 11月/ 基隆市 ,3,4,機車竊盜
108年 11月/ 新竹市 ,19,25,機車竊盜
108年 11月/ 嘉義市 ,2,5,機車竊盜
108年 11月/ 金門縣 ,0,0,機車竊盜
108年 11月/ 連江縣 ,0,0,機車竊盜
108年 12月/ 新北市 ,120,140,機車竊盜
108年 12月/ 臺北市 ,29,32,機車竊盜
108年 12月/ 桃園市 ,123,89,機車竊盜
108年 12月/ 臺中市 ,31,27,機車竊盜
108年 12月/ 臺南市 ,41,31,機車竊盜
108年 12月/ 高雄市 ,38,52,機車竊盜
108年 12月/ 宜蘭縣 ,7,6,機車竊盜
108年 12月/ 新竹縣 ,35,22,機車竊盜
108年 12月/ 苗栗縣 ,8,7,機車竊盜
108年 12月/ 彰化縣 ,10,12,機車竊盜
108年 12月/ 南投縣 ,6,6,機車竊盜
108年 12月/ 雲林縣 ,10,15,機車竊盜
108年 12月/ 嘉義縣 ,3,3,機車竊盜
108年 12月/ 屏東縣 ,13,15,機車竊盜
