area,population_density,statistic_yyy,site_id,people_total
30.1556,4018,107,嘉義市東區,121162
29.87,4937,107,嘉義市西區,147460
21.713,1995,107,金門縣金城鎮,43325
41.696,716,107,金門縣金湖鎮,29856
41.19,505,107,金門縣金沙鎮,20784
29.854,1064,107,金門縣金寧鄉,31765
16.003,804,107,金門縣烈嶼鄉,12861
1.2,568,107,金門縣烏坵鄉,682
10.4,737,107,連江縣南竿鄉,7663
9.9,245,107,連江縣北竿鄉,2425
4.7,344,107,連江縣莒光鄉,1618
3.8,355,107,連江縣東引鄉,1350
23.1373,24069,108,新北市板橋區,556897
16.317,23677,108,新北市三重區,386336
20.144,20506,108,新北市中和區,413069
5.7138,38607,108,新北市永和區,220595
19.7383,21302,108,新北市新莊區,420473
120.2255,2524,108,新北市新店區,303445
33.1288,5552,108,新北市樹林區,183926
21.1248,4112,108,新北市鶯歌區,86869
191.4508,608,108,新北市三峽區,116478
70.6565,2528,108,新北市淡水區,178610
71.2354,2856,108,新北市汐止區,203429
70.7336,559,108,新北市瑞芳區,39536
29.5578,8042,108,新北市土城區,237696
7.4351,27153,108,新北市蘆洲區,201883
34.8632,2524,108,新北市五股區,88000
19.1603,4110,108,新北市泰山區,78751
54.1519,2134,108,新北市林口區,115582
20.5787,1153,108,新北市深坑區,23725
144.3498,53,108,新北市石碇區,7629
170.835,39,108,新北市坪林區,6689
65.9909,345,108,新北市三芝區,22768
51.2645,231,108,新北市石門區,11834
39.4933,1001,108,新北市八里區,39531
71.3382,64,108,新北市平溪區,4546
146.2484,59,108,新北市雙溪區,8665
99.9734,120,108,新北市貢寮區,12033
49.2132,435,108,新北市金山區,21396
63.3766,345,108,新北市萬里區,21872
321.1306,20,108,新北市烏來區,6433
9.2878,21985,108,臺北市松山區,204193
11.2077,19631,108,臺北市信義區,220021
11.3614,27077,108,臺北市大安區,307631
13.6821,16619,108,臺北市中山區,227387
7.6071,20772,108,臺北市中正區,158014
5.6815,22185,108,臺北市大同區,126043
8.8522,21133,108,臺北市萬華區,187076
31.509,8626,108,臺北市文山區,271806
21.8424,5507,108,臺北市南港區,120297
31.5787,9050,108,臺北市內湖區,285795
62.3682,4545,108,臺北市士林區,283459
56.8216,4458,108,臺北市北投區,253319
34.8046,13010,108,桃園市桃園區,452824
76.52,5455,108,桃園市中壢區,417380
105.1206,909,108,桃園市大溪區,95550
89.1229,1942,108,桃園市楊梅區,173049
75.5025,2204,108,桃園市蘆竹區,166406
87.3925,1065,108,桃園市大園區,93078
72.0177,2262,108,桃園市龜山區,162921
33.7111,6110,108,桃園市八德區,205974
75.2341,1649,108,桃園市龍潭區,124031
47.7532,4784,108,桃園市平鎮區,228436
85.0166,579,108,桃園市新屋區,49256
87.9807,772,108,桃園市觀音區,67956
350.7775,35,108,桃園市復興區,12176
0.8803,20891,108,臺中市中區,18390
9.2855,8179,108,臺中市東區,75943
6.8101,18586,108,臺中市南區,126571
5.7042,20208,108,臺中市西區,115273
6.9376,21245,108,臺中市北區,147391
39.8467,5785,108,臺中市西屯區,230501
31.2578,5552,108,臺中市南屯區,173532
62.7034,4523,108,臺中市北屯區,283621
41.1845,4052,108,臺中市豐原區,166875
117.4065,424,108,臺中市東勢區,49773
58.5192,1313,108,臺中市大甲區,76822
64.1709,1365,108,臺中市清水區,87587
40.4604,2342,108,臺中市沙鹿區,94755
16.6049,3548,108,臺中市梧棲區,58921
58.9439,927,108,臺中市后里區,54666
35.0445,1874,108,臺中市神岡區,65679
25.8497,4229,108,臺中市潭子區,109324
32.4109,2955,108,臺中市大雅區,95772
68.8874,353,108,臺中市新社區,24289
18.2105,810,108,臺中市石岡區,14758
42.4099,760,108,臺中市外埔區,32224
27.4045,697,108,臺中市大安區,19111
43.4032,1742,108,臺中市烏日區,75610
37.0024,1543,108,臺中市大肚區,57085
38.0377,2051,108,臺中市龍井區,78027
98.0779,667,108,臺中市霧峰區,65419
120.7473,1604,108,臺中市太平區,193729
28.8758,7366,108,臺中市大里區,212711
1037.8192,11,108,臺中市和平區,10902
38.5386,1997,108,臺南市新營區,76969
52.2455,483,108,臺南市鹽水區,25223
126.4046,219,108,臺南市白河區,27688
61.2929,344,108,臺南市柳營區,21068
72.2189,318,108,臺南市後壁區,23001
124.9178,164,108,臺南市東山區,20449
53.9744,815,108,臺南市麻豆區,43993
33.5291,706,108,臺南市下營區,23686
67.5471,324,108,臺南市六甲區,21886
70.7953,302,108,臺南市官田區,21371
70.3125,134,108,臺南市大內區,9391
38.9422,1517,108,臺南市佳里區,59089
53.9919,472,108,臺南市學甲區,25501
33.7666,727,108,臺南市西港區,24554
110.1492,202,108,臺南市七股區,22299
41.9796,461,108,臺南市將軍區,19353
44.1003,246,108,臺南市北門區,10830
62.0579,697,108,臺南市新化區,43254
55.3097,904,108,臺南市善化區,50018
47.8096,780,108,臺南市新市區,37269
31.27,973,108,臺南市安定區,30413
27.878,258,108,臺南市山上區,7199
76.3662,180,108,臺南市玉井區,13769
109.6316,85,108,臺南市楠西區,9319
171.5198,50,108,臺南市南化區,8583
74.9025,62,108,臺南市左鎮區,4676
50.7664,1499,108,臺南市仁德區,76094
55.7913,1221,108,臺南市歸仁區,68135
53.6413,638,108,臺南市關廟區,34202
64.0814,61,108,臺南市龍崎區,3900
40.2753,5852,108,臺南市永康區,235699
13.4156,13865,108,臺南市東區,186009
27.2681,4573,108,臺南市南區,124696
10.434,12601,108,臺南市北區,131480
107.2016,1812,108,臺南市安南區,194228
11.0663,6065,108,臺南市安平區,67119
6.26,12539,108,臺南市中西區,78493
1.4161,16870,108,高雄市鹽埕區,23889
14.7523,9562,108,高雄市鼓山區,141055
19.3823,10201,108,高雄市左營區,197728
25.8276,7279,108,高雄市楠梓區,187999
19.7866,17146,108,高雄市三民區,339269
1.9764,25812,108,高雄市新興區,51014
1.8573,14472,108,高雄市前金區,26879
8.1522,20709,108,高雄市苓雅區,168825
19.1207,9807,108,高雄市前鎮區,187524
1.4639,19215,108,高雄市旗津區,28129
45.4426,3472,108,高雄市小港區,157793
26.759,13449,108,高雄市鳳山區,359882
32.286,2156,108,高雄市林園區,69604
71.04,1580,108,高雄市大寮區,112259
66.9811,629,108,高雄市大樹區,42142
26.5848,1294,108,高雄市大社區,34410
36.0808,2483,108,高雄市仁武區,89595
24.5927,1828,108,高雄市鳥松區,44960
47.9421,2026,108,高雄市岡山區,97127
25.9379,1475,108,高雄市橋頭區,38254
65.395,454,108,高雄市燕巢區,29686
92.6802,76,108,高雄市田寮區,7043
34.6164,823,108,高雄市阿蓮區,28489
48.4348,1077,108,高雄市路竹區,52185
20.1615,1472,108,高雄市湖內區,29684
15.7624,1904,108,高雄市茄萣區,30006
22.6141,610,108,高雄市永安區,13786
14.7772,1289,108,高雄市彌陀區,19049
11.5967,3083,108,高雄市梓官區,35750
94.6122,384,108,高雄市旗山區,36313
120.0316,326,108,高雄市美濃區,39074
194.1584,65,108,高雄市六龜區,12633
124.034,48,108,高雄市甲仙區,5943
104.0036,112,108,高雄市杉林區,11681
95.6224,148,108,高雄市內門區,14195
194,10,108,高雄市茂林區,1937
928.98,5,108,高雄市桃源區,4261
252.9895,12,108,高雄市那瑪夏區,3146
29.408,3250,108,宜蘭縣宜蘭市,95562
11.3448,6338,108,宜蘭縣羅東鎮,71898
89.0196,440,108,宜蘭縣蘇澳鎮,39155
100.893,287,108,宜蘭縣頭城鎮,28985
101.4278,349,108,宜蘭縣礁溪鄉,35417
38.4769,635,108,宜蘭縣壯圍鄉,24424
111.9106,288,108,宜蘭縣員山鄉,32284
79.8573,665,108,宜蘭縣冬山鄉,53103
38.8671,1028,108,宜蘭縣五結鄉,39959
144.2238,148,108,宜蘭縣三星鄉,21278
657.5442,9,108,宜蘭縣大同鄉,6143
740.652,8,108,宜蘭縣南澳鄉,5970
46.8341,4153,108,新竹縣竹北市,194516
125.5193,224,108,新竹縣關西鎮,28055
72.1911,454,108,新竹縣新埔鎮,32798
53.5133,1815,108,新竹縣竹東鎮,97127
58.4303,1333,108,新竹縣湖口鄉,77908
66.3502,193,108,新竹縣橫山鄉,12789
46.3496,1236,108,新竹縣新豐鄉,57292
40.7858,489,108,新竹縣芎林鄉,19934
64.7871,226,108,新竹縣寶山鄉,14626
50.6676,181,108,新竹縣北埔鄉,9178
46.801,117,108,新竹縣峨眉鄉,5479
527.5795,18,108,新竹縣尖石鄉,9638
227.728,20,108,新竹縣五峰鄉,4593
37.8878,2322,108,苗栗縣苗栗市,87976
53.3205,1945,108,苗栗縣頭份市,103701
68.2473,657,108,苗栗縣苑裡鎮,44848
107.8486,310,108,苗栗縣通霄鎮,33471
37.5592,2305,108,苗栗縣竹南鎮,86565
75.8079,471,108,苗栗縣後龍鎮,35675
76.3153,216,108,苗栗縣卓蘭鎮,16448
90.8396,156,108,苗栗縣大湖鄉,14194
71.4523,458,108,苗栗縣公館鄉,32754
