statistic_yyy,site_id,people_total
108,高雄市前金區,26879
108,高雄市苓雅區,168825
108,高雄市前鎮區,187524
108,高雄市旗津區,28129
108,高雄市小港區,157793
108,高雄市鳳山區,359882
108,高雄市林園區,69604
108,高雄市大寮區,112259
108,高雄市大樹區,42142
108,高雄市大社區,34410
108,高雄市仁武區,89595
108,高雄市鳥松區,44960
108,高雄市岡山區,97127
108,高雄市橋頭區,38254
108,高雄市燕巢區,29686
108,高雄市田寮區,7043
108,高雄市阿蓮區,28489
108,高雄市路竹區,52185
108,高雄市湖內區,29684
108,高雄市茄萣區,30006
108,高雄市永安區,13786
108,高雄市彌陀區,19049
108,高雄市梓官區,35750
108,高雄市旗山區,36313
108,高雄市美濃區,39074
108,高雄市六龜區,12633
108,高雄市甲仙區,5943
108,高雄市杉林區,11681
108,高雄市內門區,14195
108,高雄市茂林區,1937
108,高雄市桃源區,4261
108,高雄市那瑪夏區,3146
108,宜蘭縣宜蘭市,95562
108,宜蘭縣羅東鎮,71898
108,宜蘭縣蘇澳鎮,39155
108,宜蘭縣頭城鎮,28985
108,宜蘭縣礁溪鄉,35417
108,宜蘭縣壯圍鄉,24424
108,宜蘭縣員山鄉,32284
108,宜蘭縣冬山鄉,53103
108,宜蘭縣五結鄉,39959
108,宜蘭縣三星鄉,21278
108,宜蘭縣大同鄉,6143
108,宜蘭縣南澳鄉,5970
108,新竹縣竹北市,194516
108,新竹縣關西鎮,28055
108,新竹縣新埔鎮,32798
108,新竹縣竹東鎮,97127
108,新竹縣湖口鄉,77908
108,新竹縣橫山鄉,12789
108,新竹縣新豐鄉,57292
108,新竹縣芎林鄉,19934
108,新竹縣寶山鄉,14626
108,新竹縣北埔鄉,9178
108,新竹縣峨眉鄉,5479
108,新竹縣尖石鄉,9638
108,新竹縣五峰鄉,4593
108,苗栗縣苗栗市,87976
108,苗栗縣頭份市,103701
108,苗栗縣苑裡鎮,44848
108,苗栗縣通霄鎮,33471
108,苗栗縣竹南鎮,86565
108,苗栗縣後龍鎮,35675
108,苗栗縣卓蘭鎮,16448
108,苗栗縣大湖鄉,14194
108,苗栗縣公館鄉,32754
108,苗栗縣銅鑼鄉,17588
108,苗栗縣南庄鄉,9813
108,苗栗縣頭屋鄉,10455
108,苗栗縣三義鄉,15970
108,苗栗縣西湖鄉,6877
108,苗栗縣造橋鄉,12473
